Product List,Product List
Type,Type
Action,Action
Reset Filter,Reset Filter
simple,simple
virtual,virtual
downloadable,downloadable
Description,Description
Short Description,Short Description
SKU Available,SKU Available
SKU Already Exist,SKU Already Exist
SKU can't be empty,SKU can't be empty
Default Image,Default Image
Invalid extension! Please Upload an image,Invalid extension! Please Upload an image
Error processing the request please Try Again,Error processing the request please Try Again
Product Link Successfully Deleted,Product Link Successfully Deleted
Product Sample Successfully Deleted,Product Sample Successfully Deleted
Image Successfully Deleted,Image Successfully Deleted
Upload,Upload
Links,Links
Samples,Samples
Are you sure?,Are you sure?
No File Choosen,No File Choosen
No File...,No File...
Pending Products,Pending Products
Approved Products,Approved Products
All Products,All Products
Approve,Approve
Disapprove,Disapprove
Vendor Pending Products,Store Pending Products
Vendor Approved Products,Store Approved Products
Manage Vendor Products,Manage Store Products
You sure?,You sure?
Click to Approve,Click to Approve
Click to Disapprove,Click to Disapprove
Unable to delete the product,Unable to delete the product
Your Product Has Been Sucessfully Deleted,Your Product Has Been Sucessfully Deleted
The Product Name cannot be empty,The Product Name cannot be empty
The Product SKU cannot be empty,The Product SKU cannot be empty
The Product Weight cannot be empty,The Product Weight cannot be empty
The Product Weight must be 0 or Greater,The Product Weight must be 0 or Greater
The Product Stock cannot be empty,The Product Stock cannot be empty
The Product Stock must be a valid Number,The Product Stock must be a valid Number
The Product Tax Class cannot be empty,The Product Tax Class cannot be empty
The Product Price cannot be empty,The Product Price cannot be empty
The Product Price must be 0 or Greater,The Product Price must be 0 or Greater
The Product Special Price must be 0 or Greater,The Product Special Price must be 0 or Greater
The Product Short description cannot be empty,The Product Short description cannot be empty
The Product Description cannot be empty,The Product Description cannot be empty
Require Admin Approval,Require Admin Approval
Allowed Product Attribute Set,Allowed Product Attribute Set
Allowed Product Type,Allowed Product Type
Product approved notification email,Product approved notification email
Product rejected notification email,Product rejected notification email
Downloadable Product Configuration,Downloadable Product Configuration
Allowed Link Formats,Allowed Link Formats
Allowed Sample Formats,Allowed Sample Formats
Filter Report,Filter Report
No Report Available,No Report Available
No Transactions Available,No Transactions Available
No Orders Available,No Orders Available
No product records found,No product records found
Start date,Start date
End date,End date
Vendor Payment Status,Store Payment Status
Orders Report,Orders Report
Total Sales,Total Sales
